Title,Genre,Premiere,Runtime,IMDB Score,Language
"What Happened, Miss Simone?",Documentary,6/26/2015,84,7.6,English
Tig,Documentary,7/17/2015,80,7.4,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,10/9/2015,91,8.4,English/Ukranian/Russian
Beasts of No Nation,War drama,10/16/2015,136,7.7,English/Akan
A Very Murray Christmas,Comedy / Musical,12/4/2015,56,5.5,English
The Fundamentals of Caring,Comedy-drama,6/24/2016,97,7.3,English
Brahman Naman,Comedy,7/7/2016,95,5.6,English
Rebirth,Thriller,7/15/2016,100,5,English
Tallulah,Comedy-drama,7/29/2016,111,6.7,English
The Siege of Jadotville,War,10/7/2016,108,7.2,English
13th,Documentary,10/7/2016,100,8.2,English
Justin Timberlake + The Tennessee Kids,Concert Film,10/12/2016,90,7.7,English
Mascots,Mockumentary,10/13/2016,95,5.8,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,10/14/2016,79,7.3,English/Mandarin
I Am the Pretty Thing That Lives in the House,Horror,10/28/2016,89,4.6,English
7 años,Drama,10/28/2016,76,6.8,Spanish
Into the Inferno,Documentary,10/28/2016,107,7.2,English
The Ivory Game,Documentary,11/4/2016,112,7.9,English
Spectral,Science fiction/Action,12/9/2016,108,6.3,English
Coin Heist,Heist,1/6/2017,97,4.8,English
Clinical,Thriller,1/13/2017,104,5.1,English
Take the 10,Comedy,1/20/2017,80,4.8,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,1/26/2017,36,7.1,English
iBoy,Science fiction/Thriller,1/27/2017,90,6,English
Imperial Dreams,Drama,2/3/2017,87,6.7,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2/7/2017,54,6.7,English
Win It All,Comedy,4/7/2017,88,6.2,English
Handsome: A Netflix Mystery Movie,Comedy,5/5/2017,81,5.2,English
The Mars Generation,Documentary,5/5/2017,97,6.4,English
Shimmer Lake,Crime thriller,6/9/2017,86,6.3,English
CounterPunch ,Documentary,6/16/2017,91,6.7,English
Nobody Speak: Trials of the Free Press,Documentary,6/23/2017,95,6.5,English
Okja,Action-adventure,6/28/2017,121,7.3,English/Korean
To the Bone,Drama,7/14/2017,107,6.8,English
Chasing Coral ,Documentary,7/14/2017,89,8.1,English
The Incredible Jessica James,Comedy,7/28/2017,83,6.5,English
Icarus,Documentary,8/4/2017,120,7.9,English
Little Evil,Comedy horror,9/1/2017,94,5.7,English
Resurface,Documentary,9/1/2017,27,7,English
#REALITYHIGH,Comedy,9/8/2017,99,5.2,English
The Death and Life of Marsha P. Johnson,Documentary,10/6/2017,105,7.3,English
Bomb Scared,Black comedy,10/12/2017,89,5.6,Spanish/Basque
The Babysitter,Teen comedy horror,10/13/2017,85,6.3,English
The Meyerowitz Stories (New and Selected),Comedy-drama,10/13/2017,112,6.9,English
Kingdom of Us,Documentary,10/13/2017,109,7,English
1922,Horror/Crime drama,10/20/2017,102,6.3,English
Wheelman,Action thriller,10/20/2017,82,6.4,English
One of Us,Documentary,10/20/2017,95,7.1,English
Voyuer ,Documentary,12/1/2017,95,6.2,English
El Camino Christmas,Dark comedy,12/8/2017,89,5.7,English
The Polka King,Comedy-drama,1/12/2018,95,5.9,English
The Open House,Horror thriller,1/19/2018,94,3.2,English
Step Sisters,Comedy,1/19/2018,108,5.5,English
A Futile and Stupid Gesture,Biographical/Comedy,1/26/2018,101,6.8,English
The Cloverfield Paradox,Science fiction,2/4/2018,102,5.5,English
When We First Met,Romantic comedy,2/9/2018,97,6.4,English
The Trader,Documentary,2/9/2018,23,6.8,Georgian
Seeing Allred,Documentary,2/9/2018,95,6.9,English
Ladies First,Documentary,3/8/2018,39,7.2,English/Hindi
The Outsider,Crime drama,3/9/2018,120,6.3,English/Japanese
6 Balloons,Drama,4/6/2018,75,5.9,English
Amateur,Sports-drama,4/6/2018,96,5.9,English
"Ram Dass, Going Home",Documentary,4/6/2018,31,7.1,English
Sometimes,Drama,5/1/2018,101,7.2,Tamil
Forgive Us Our Debts,Drama,5/4/2018,104,6,Italian
End Game,Documentary,5/4/2018,40,7.1,English
Alex Strangelove,Romantic comedy,6/8/2018,99,6.3,English
Lust Stories,Drama,6/15/2018,120,6.5,Hindi
Set It Up,Romantic comedy,6/15/2018,105,6.5,English
"To Each, Her Own",Romantic comedy,6/24/2018,95,5.3,French
TAU,Science fiction/Thriller,6/29/2018,97,5.8,English
Recovery Boys,Documentary,6/29/2018,89,6.6,English
Calibre,Thriller,6/29/2018,101,6.8,English
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,7/6/2018,83,5.5,English
How It Ends,Action-thriller,7/13/2018,113,5,English
Father of the Year,Comedy,7/20/2018,94,5.2,English
Extinction,Science fiction/Thriller,7/27/2018,95,5.8,English
The Bleeding Edge,Documentary,7/27/2018,100,7.6,English
Like Father,Comedy,8/3/2018,103,6.1,English
Long Live Brij Mohan,Comedy,8/3/2018,105,6.8,Hindi
The Most Assassinated Woman in the World,Thriller,9/7/2018,102,5.3,French
Sierra Burgess Is a Loser,Romantic comedy-drama,9/7/2018,105,5.8,English
City of Joy,Documentary,9/7/2018,74,7.5,English
Private Life,Drama,10/5/2018,124,7.2,English
22-Jul,Drama,10/10/2018,144,6.8,English
Apostle,Horror-thriller,10/12/2018,129,6.3,English
ReMastered: Who Shot the Sheriff?,Documentary,10/12/2018,57,6.9,English
Feminists: What Were They Thinking?,Documentary,10/12/2018,86,7,English
The Night Comes for Us,Action-thriller,10/19/2018,121,7,Indonesian
Derren Brown: Sacrifice,Mentalism special,10/19/2018,49,7.1,English
Been So Long,Musical,10/26/2018,100,5.5,English
Shirkers,Documentary,10/26/2018,97,7.4,English
The Holiday Calendar,Romantic comedy,11/2/2018,95,5.7,English
The Other Side of the Wind,Drama,11/2/2018,122,6.8,English
ReMastered: Tricky Dick & the Man in Black,Documentary,11/2/2018,58,7.1,English
They'll Love Me When I'm Dead,Documentary,11/2/2018,98,7.4,English
Outlaw King,Historical-epic,11/9/2018,121,6.9,English
5 Star Christmas,Comedy,12/7/2018,95,4.6,Italian
Mowgli: Legend of the Jungle,Adventure,12/7/2018,104,6.5,English
ReMastered: Who Killed Jam Master Jay?,Documentary,12/7/2018,58,6.6,English
The American Meme,Documentary,12/7/2018,98,6.6,English
Lionheart,Comedy,1/4/2019,94,5.7,English
